Type,Assignee,Created,Created Epoch,Description,Comments
New Feature,Hadrian Zbarcea,2007-06-07T21:14:53+0000,1181250893,e.g. be able to look in camel-core or camel-jms or whatever and see what types from -> to etc  e.g.  Document -> String  Source  byte[]  Stax ....   etc,In an earlier version I had the logic in the Mojo  but I thought it's better to move it in camel-core utils. Now the mojo uses the same logic as the camel core so the results are more likely to be relevant. Reporting is quite primitive  but all the info is there. It's not a problem for instance to make it xml and use xslt later. Please give it a shot and let me know if this is what you expected.. Patch applied with huge thanks Hadrian!  I'm wondering; should we move this code into the camel-maven-plugin as another goal/report? Also making it a real maven report  so it gets its own page in the maven generated site; like the 'mvn camel:dot' plugin does?  http://activemq.apache.org/camel/camel-maven-plugin.html  we could use one of those Sink classes  like the DotMojo does to generate HTML nicely for the report.  BTW when I did a build  I found the converters.txt only had the stuff from camel-core in there? Am thinking  we might wanna use a similar trick to the DotMojo (maybe even combine the two) - we basically boot up the camel context in a new class loader so that all the jars are available  then generate the EIP diagrams.  Maybe we just need to do like the EmbeddedMojo does and just create a new classloader; then in that class loader we run the actual generation of the report via reflection?. Hadrian  Is there some wiki documentation that should be added/updated with this change?. Closing 1.4 issues.. 
New Feature,Unassigned,2007-06-07T21:17:53+0000,1181251073,we've got the basic camel.view classes for making a DOT file (wiki notation for graphical pictures of routes). e.g. see ServiceMix stuff...  http://incubator.apache.org/servicemix/visualisation.html  so we need to be able to automatically generate nice graphs,See http://activemq.apache.org/camel/camel-maven-plugin.html  and  http://activemq.apache.org/camel/camel-dot-maven-goal.html. 
New Feature,James Strachan,2007-06-11T17:42:58+0000,1181583778,Component for Remote Files. Similar to the File Component  but using remote files over various protocols (currently supporting FTP  SFTP. WebDAV planned).  Generally works  but still needs unit tests.,Patch applied with many thanks! I added an Apache FtpServer based test case too. We get an error warning when the test case runs we should tidy up (to do with shutting down while the poller keeps on going) but other than that its looking great! Nicely done!. 
New Feature,Unassigned,2007-06-11T19:07:33+0000,1181588853,If you have a route that goes through a processor that is expensive  you may want to pool that processor so it's not holding up the rest of the route.  Configuration could look as such:   from("activemq:queue:SOMETHING").pool(5 [min]  15 [max]).process(new ExpensiveMessageEnricher()).to("activemq:queue:SOMEWHERE_ELSE"); or from("activemq:queue:SOMETHING").process(new ExpensiveMessageEnricher()).pool(5 [min]  15 [max]).to("activemq:queue:SOMEWHERE_ELSE");    I'm not sure exactly how these would differ  but I think the first one would have 5-15 MQ queue listeners  which would all go through 1 EME  and then through 1 mq producer  and the second would have 1 mq listener that would dispatch to one of the 5-15 EME threads (if available?  not sure if that level of interaction between steps is good)  and then go through 1 mq producer.  Seems like the first would be the better option as I write this...  Notes from IRC convo with James: first thought is; we might wanna wrap a Producer in a factory thingy that does pooling (e.g. like the way spring does pooling using interceptors etc); but that the pool part could be done wherever a Processor can be used,Be careful  what you propose (pool(5 15)) can generate confusion in the head of the users because actually  you can define the number of thread that you want :  from("activemq:queue:SOMETHING").thread(5).process(new ExpensiveMessageEnricher()).to("activemq:queue:SOMEWHERE_ELSE");  Personally  what you request already exist except that we cannot now define the limit of the thread to be created.  If you want to process tasks in // (parallel)  you can use the multicast EIP (http://activemq.apache.org/camel/multicast.html).. Yes as Charles said there is a thread() DSL type that can be used for thread pool.  It has attributes you can configure (see ThreadType.java) for instance it has a max size property: private Integer maxSize = 1;  Can't you just append the options using the fluent builder?  from("activemq:queue:SOMETHING").thread(5).setMaxSize(15).process(new ExpensiveMessageEnricher()).to("activemq:queue:SOMEWHERE_ELSE");   I think thus we already have this feature in Camel 1.4. Ah it got fluent builders already so you should use  thread(5).maxSize(15). Implemented by CAMEL-149. Closing this one.. Closing old tickets. 
New Feature,James Strachan,2007-06-12T19:16:51+0000,1181675811,,implemented.. 
New Feature,James Strachan,2007-06-12T19:24:14+0000,1181676254,Be able to send and receive exchanges from JMS endpoints.,implemented.. 
New Feature,James Strachan,2007-06-12T19:37:34+0000,1181677054,Provide a declarative way to correlate the multiple process actions related to business activity and generate monitoring events when pocessing constraints are violated.,initial framework has been implemented.. 
New Feature,James Strachan,2007-06-12T19:40:33+0000,1181677233,,implemented.. 
New Feature,James Strachan,2007-06-12T19:45:26+0000,1181677526,,implemented.. 
New Feature,Unassigned,2007-06-12T19:47:55+0000,1181677675,Allows for subsequent Exchange processors to work with an exchanages that has a Pojo based body.,The JaxbConverter has been implemented but I have not seen any use cases for it.. the camel-jaxb module now has a FaillbackTypeConverter so that any POJO which has an @XmlRootElement is automatically convertable to a stream/Source/Result/Document etc.  However we should also add some JaxbMarshaller plugin so that if a POJO does not have any JAXB annotations we can still use a JAXB conversion. see the Data Format support such as for JAXB. 
New Feature,James Strachan,2007-06-12T19:50:31+0000,1181677831,,implemented.. 
New Feature,James Strachan,2007-06-12T19:53:16+0000,1181677996,,implemented. See: http://activemq.apache.org/camel/sql.html. 
New Feature,James Strachan,2007-06-12T19:56:42+0000,1181678202,The jpa: component allows you to work with databases using JPA (EJB 3 Persistence) such as for working with OpenJPA  Hibernate  TopLink to work with relational databases.  Sending POJOs to the JPA endpoint inserts entities into the database. Consuming messages removes (or updates) entities in the database.,implemented see: http://activemq.apache.org/camel/jpa.html. 
New Feature,James Strachan,2007-06-12T19:58:24+0000,1181678304,,implemented. See: http://activemq.apache.org/camel/idempotent-consumer.html. 
New Feature,James Strachan,2007-06-12T20:02:58+0000,1181678578,,implemented: http://activemq.apache.org/camel/mail.html. implemented: http://activemq.apache.org/camel/mail.html. 
New Feature,James Strachan,2007-06-12T20:03:44+0000,1181678624,,implemented. see: http://activemq.apache.org/camel/mail.html. 
New Feature,James Strachan,2007-06-12T20:04:31+0000,1181678671,,implemented. see: http://activemq.apache.org/camel/mail.html. 
New Feature,James Strachan,2007-06-12T20:06:25+0000,1181678785,,implemented.. see: http://activemq.apache.org/camel/mina.html. 
New Feature,James Strachan,2007-06-12T20:08:12+0000,1181678892,,implemented: http://activemq.apache.org/camel/quartz.html. 
New Feature,James Strachan,2007-06-12T20:09:14+0000,1181678954,,implemented. See:  http://activemq.apache.org/camel/rmi.html. 
New Feature,James Strachan,2007-06-12T20:11:24+0000,1181679084,,implemented.. 
New Feature,James Strachan,2007-06-12T20:13:03+0000,1181679183,,implemented.. 
New Feature,James Strachan,2007-06-12T20:14:48+0000,1181679288,,implemented. see:  http://activemq.apache.org/camel/spring.html. 
New Feature,James Strachan,2007-06-12T20:16:42+0000,1181679402,,implemented. See the JMS component for a use case.. 
New Feature,James Strachan,2007-06-12T20:19:44+0000,1181679584,Provide a spring remoting implemenation that can invoke Camel PojoExchanges and expose Spring pojos as via PojoExchanges on the camel router.,implemented.. 
Task,James Strachan,2007-06-12T20:20:54+0000,1181679654,,Done - see http://cwiki.apache.org/CAMEL/spring-remoting.html. 
New Feature,James Strachan,2007-06-12T20:22:15+0000,1181679735,,implemented: http://activemq.apache.org/camel/xmpp.html. 
New Feature,James Strachan,2007-06-12T20:35:42+0000,1181680542,,implemented. see:  http://activemq.apache.org/camel/direct.html. 
New Feature,Unassigned,2007-06-12T20:38:08+0000,1181680688,,implemented. See:  http://activemq.apache.org/camel/file.html. 
New Feature,James Strachan,2007-06-12T20:40:25+0000,1181680825,,Implemented. see: http://activemq.apache.org/camel/mock.html. 
New Feature,Hiram R. Chirino,2007-06-12T20:41:54+0000,1181680914,,implemented. See:  http://activemq.apache.org/camel/pojo.html. 
New Feature,Hiram R. Chirino,2007-06-12T20:43:01+0000,1181680981,,implemented. see: http://activemq.apache.org/camel/queue.html. 
New Feature,James Strachan,2007-06-12T20:44:44+0000,1181681084,,Implemented. http://activemq.apache.org/camel/timer.html. The timer:// endpoint is a simpler version of the Quartz timer which only depends on Java 1.5. 
New Feature,James Strachan,2007-06-12T20:47:51+0000,1181681271,,implemented.  See: http://activemq.apache.org/camel/dsl.html. 
New Feature,Unassigned,2007-06-13T18:31:42+0000,1181759502,,we could add a demo to show how to combine the CXF with camle. This patch contains a demo to show how to use came as a port router of webservice.. Just fixed a cxf producer client create bug. Please use this patch file.. Patch applied - though it needs documentation - could you edit this page please to add a link to the CXF example? http://activemq.apache.org/camel/examples.html  I get this log when I try and run it - is that expected?...  Hello there jstrachan 01-Oct-2007 15:02:13 org.apache.cxf.transport.jms.JMSDestination$JMSExecutor run INFO: run the incoming message in the threadpool 01-Oct-2007 15:02:13 org.apache.camel.example.cxf.GreeterImpl pingMe INFO: Executing operation pingMe  throwing PingMeFault exception  message = hello Executing operation pingMe  throwing PingMeFault exception  01-Oct-2007 15:02:13 org.apache.cxf.phase.PhaseInterceptorChain doIntercept INFO: Interceptor has thrown exception  unwinding now org.apache.cxf.interceptor.Fault: PingMeFault raised by server at org.apache.cxf.service.invoker.AbstractInvoker.createFault(AbstractInvoker.java:101) at org.apache.cxf.jaxws.JAXWSMethodInvoker.createFault(JAXWSMethodInvoker.java:76) at org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:90) at org.apache.cxf.jaxws.JAXWSMethodInvoker.invoke(JAXWSMethodInvoker.java:100) at org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:63) at org.apache.cxf.interceptor.ServiceInvokerInterceptor$1.run(ServiceInvokerInterceptor.java:56) at org.apache.cxf.workqueue.SynchronousExecutor.execute(SynchronousExecutor.java:37) at org.apache.cxf.interceptor.ServiceInvokerInterceptor.handleMessage(ServiceInvokerInterceptor.java:92) at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207) at org.apache.cxf.transport.ChainInitiationObserver.onMessage(ChainInitiationObserver.java:73) at org.apache.cxf.transport.jms.JMSDestination.incoming(JMSDestination.java:200) at org.apache.cxf.transport.jms.JMSDestination$JMSExecutor.run(JMSDestination.java:331) at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:650) at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:675) at java.lang.Thread.run(Thread.java:613) Caused by: org.apache.hello_world_soap_http.PingMeFault: PingMeFault raised by server at org.apache.camel.example.cxf.GreeterImpl.pingMe(GreeterImpl.java:69) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:585) at org.apache.cxf.service.invoker.AbstractInvoker.performInvocation(AbstractInvoker.java:107) at org.apache.cxf.service.invoker.AbstractInvoker.invoke(AbstractInvoker.java:77) ... 12 more 01-Oct-2007 15:02:13 org.apache.cxf.phase.PhaseInterceptorChain doIntercept INFO: Interceptor has thrown exception  unwinding now org.apache.cxf.interceptor.Fault: PingMeFault raised by server at org.apache.camel.component.cxf.CamelInvoker.invoke(CamelInvoker.java:171) at org.apache.cxf.interceptor.ServiceInvokerInterceptor$1.run(ServiceInvokerInterceptor.java:56) at org.apache.cxf.workqueue.SynchronousExecutor.execute(SynchronousExecutor.java:37) at org.apache.cxf.interceptor.ServiceInvokerInterceptor.handleMessage(ServiceInvokerInterceptor.java:92) at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207) at org.apache.cxf.transport.ChainInitiationObserver.onMessage(ChainInitiationObserver.java:73) at org.apache.cxf.transport.http_jetty.JettyHTTPDestination.serviceRequest(JettyHTTPDestination.java:268) at org.apache.cxf.transport.http_jetty.JettyHTTPDestination.doService(JettyHTTPDestination.java:224) at org.apache.cxf.transport.http_jetty.JettyHTTPHandler.handle(JettyHTTPHandler.java:54) at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:712) at org.mortbay.jetty.handler.ContextHandlerCollection.handle(ContextHandlerCollection.java:211) at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:139) at org.mortbay.jetty.Server.handle(Server.java:313) at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:506) at org.mortbay.jetty.HttpConnection$RequestHandler.content(HttpConnection.java:844) at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:726) at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:211) at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:381) at org.mortbay.io.nio.SelectChannelEndPoint.run(SelectChannelEndPoint.java:396) at org.mortbay.thread.BoundedThreadPool$PoolThread.run(BoundedThreadPool.java:475) Caused by: org.apache.hello_world_soap_http.PingMeFault: PingMeFault raised by server at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:39) at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:27) at java.lang.reflect.Constructor.newInstance(Constructor.java:494) at org.apache.cxf.interceptor.ClientFaultConverter.processFaultDetail(ClientFaultConverter.java:125) at org.apache.cxf.interceptor.ClientFaultConverter.handleMessage(ClientFaultConverter.java:68) at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207) at org.apache.cxf.interceptor.AbstractFaultChainInitiatorObserver.onMessage(AbstractFaultChainInitiatorObserver.java:90) at org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(ReadHeadersInterceptor.java:179) at org.apache.cxf.binding.soap.interceptor.ReadHeadersInterceptor.handleMessage(ReadHeadersInterceptor.java:56) at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207) at org.apache.cxf.endpoint.ClientImpl.onMessage(ClientImpl.java:395) at org.apache.cxf.transport.jms.JMSConduit$JMSOutputStream.handleResponse(JMSConduit.java:375) at org.apache.cxf.transport.jms.JMSConduit$JMSOutputStream.doClose(JMSConduit.java:256) at org.apache.cxf.io.CachedOutputStream.close(CachedOutputStream.java:119) at org.apache.cxf.transport.AbstractConduit.close(AbstractConduit.java:66) at org.apache.cxf.interceptor.MessageSenderInterceptor$MessageSenderEndingInterceptor.handleMessage(MessageSenderInterceptor.java:62) at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:207) at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:254) at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:205) at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:180) at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:200) at org.apache.cxf.endpoint.ClientImpl.invoke(ClientImpl.java:186) at org.apache.camel.component.cxf.CxfProducer.process(CxfProducer.java:152) at org.apache.camel.component.cxf.CxfProducer.process(CxfProducer.java:136) at org.apache.camel.impl.converter.AsyncProcessorTypeConverter$ProcessorToAsynProcessorBridge.process(AsyncProcessorTypeConverter.java:44) at org.apache.camel.processor.SendProcessor.process(SendProcessor.java:73) at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:136) at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:86) at org.apache.camel.util.AsyncProcessorHelper.process(AsyncProcessorHelper.java:44) at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:174) at org.apache.camel.component.cxf.CamelInvoker.invoke(CamelInvoker.java:161) ... 19 more Expected exception: PingMeFault has occurred: PingMeFault raised by server. Yes  the exception is expected.. gonna mark this as resolved as we've quite a few examples now. 
Improvement,Claus Ibsen,2007-06-13T18:32:57+0000,1181759577,Peter thanks a lot for the great work on the ant files.  We will sure include it in the 1.4.  Would it be possible to have a property etc to easy set the correct Camel version. I am sure we forget. In you build files its set to 1.3-SNAPSHOT.,Hi there   I've attached a patch which adds some build.xml files for building the examples with ant. Includes minor README.txt file changes for instructions for ant. If you have any comments or would like any additions/modifications made please let me know!  Thanks  Peter. Damm I changed the description and did not add a new comment. Peter see my notes in the description.. Hi Claus   Leaving the camel.version property set to 1.3-SNAPSHOT in the common-build.xml is definitely likely to not get updated. The only place this property was being used  was in building a jar for a sample (in the jar name)  and it was included just to be consistent with maven naming. However  the build.jar target is only executed if you pass in -Dbuild.jar=true right now. So  I'm thinking of just deleting the camel.version property  and the build.jar target altogether... the samples will run fine without this  so it doesn't serve much purpose. Do you think thats reasonable?  One other thing I accidentally omitted was executing dot to generate svg files for the camel-example-docs sample. I've updated my copy of that sample's build file to do that  and I'll attach an updated patch in the morning to replace the earlier patch.  Cheers  Peter. Attached a replacement for the previous patch. This patch removes the reference to camel.version and the build.jar target from common_build.xml and adds a generatedot macro which is used by the camel-example-docs sample.. Peter I suppose the requirement for the backport jar is a requirement by ActiveMQ 5.0 to support JDK1.4? <include name="*/backport-util-concurrent-.jar"/>  Camel does however only run on JDK1.5 but it is possible to run it on 1.4 http://activemq.apache.org/camel/can-i-use-camel-on-java-14.html. Peter I get the ANT warning while starting the bam example  run: Warning: Reference sample.run.classpath has not been set at runtime  but was found during build file parsing  attempting to resolve. Future versions of Ant may support referencing ids defined in non-executed targets.  I am using ANT v1.7.0. Peter.  The spring-xquery sample does not properly initialize log4j so it uses the log4j.properties from the src/main/resources folder  run: Warning: Reference sample.run.classpath has not been set at runtime  but was found during build file parsing  attempting to resolve. Future versions of Ant may support referencing ids defined in non-executed targets. [java] log4j:WARN No appenders could be found for logger (org.apache.camel.spring.Main). [java] log4j:WARN Please initialize the log4j system properly.. Applied the patch to trunk and added a few missing log4j.properties to some examples.. Hi Claus   Yes  the backport_util_concurrent seems to be required by the samples which use activemq.  For the ant 1.7 warning: Warning: Reference sample.run.classpath has not been set at runtime  but was found during build file parsing  I've attached a small patch for common_build.xml. Sorry about that  I only tested with ant 1.6.5  and it seems that there has been a change which prints this warning if you reference a property prior to its definition in the build file.  Thanks for applying the patch! Peter. Peter sure think. Your patch is great.  Is it possible to add an ant target for all the samples so the end user can generate the visualization dot documentation. Using maven you run  mvn camel:dot. Hi Claus   For sure this is possible. Probably would add a camel.dot target to each build.xml which calls the generatedot macro in common_build.xml. So something like:  <target name="camel.dot"> <generatedot ... /> </target>  The run target in camel-examples-docs/build.xml is the only one which uses the generatedot macro at the moment.  There is one issue which I wasn't quite able to work out so far with the generatedot macro. On unix  passing a wildcard to the dot executable seems to work  so the macro can call: "dot -T svg -O *.dot" for instance and generate svg files for all of the .dot files. When I tested on windows though  I had to pass in the full name of the .dot file: "dot.exe -T svg -O routes.dot". Would be nice to figure out a better way to make the macro as generic as possible.. Hi Claus   I attached a patch which adds a camel.dot target to the common_build.xml file. So this should be able to be called from the other samples. It generates .svg files for any .dot files in the samples. I'm not sure if this is everything you meant though. It looks like the maven plugin probably also generates an index.html file. I'll have to look at that a bit closer. If this is needed also  could maybe add an ant xslt task to create the index.html somehow. What do you think?  Cheers  Peter. Peter this is great.  I would love some more information in the README.TXT files that you can run the ant camel.dot target to generate visualization graphs And that you need dot.exe in the PATH for it to work.  You could add a link to: http://activemq.apache.org/camel/visualisation.html. And this wiki page could use an update of that you can run the examples using ANT now (@since 1.4)  http://activemq.apache.org/camel/running-examples.html. Hi Claus   I attached readme.patch which has a very minor change to mention the camel.dot target in the spring example and an update for the docs example. I don't have the permissions to edit the wiki page linked above. I think updating the page with text as follows should do (the elipsis... just indicates stuff that doesn't need to be changed):  [...]  Before you start  [...]  To run the demos with maven  you need to download and install Apache Maven.  [...]  Since Camel 1.4  you can also run the examples with Ant. To do so  download and install Apache Ant. Several of the examples depend on other projects which you will need to download to run with Ant. Refer to the individual example README.txt files for details.  [...]  Running the examples in Ant  To run an example  change to the directory of the example you want to run  set any environment variables mentioned in the README.txt  and then launch ant:  on UNIX cd camel-example-spring export ACTIVEMQ_HOME=<path to ActiveMQ install directory> ant on Windows cd camel-example-spring set ACTIVEMQ_HOME=<path to ActiveMQ install directory> ant. Thanks a lot Peter for all the patches and keep on improving it.  Now Camel has a broader audience as they can try it out of the box with ANT. Now we just need some better examples. 
Improvement,Jonas B. Lim,2007-06-15T07:00:31+0000,1181890831,The content of the docbook would exist inside confluence and have the tool retrieve it and  transform them nicely into a docbook format.  Here's an example of the book for ActiveMQ  https://svn.apache.org/repos/asf/activemq/trunk/activemq-book/,added initial source for the maven plugin and docbook project at :  https://svn.apache.org/repos/asf/activemq/camel/trunk/camel-book https://svn.apache.org/repos/asf/activemq/camel/trunk/tooling/maven/maven-html-to-docbook/  r547564  The docbook transformation still needs a lot of improvement in the following : 1. handling of images - currently does not handle images 2. handling of href links (current transformation converts all local links to complete url ie. http://activemq.apache.org/camel/user-guide.html) 3. improving the format of the docbook markup. Great work!  Does the build work for you btw; when I tried it I got...  [INFO] [docbkx:generate-pdf  {execution: default}  ] [INFO] Processing Camel.xml Error Failure reading /workspace/java/camel/camel-book/target/docbkx/source/Camel.xml: /workspace/java/camel/camel-book/target/docbkx/source/index.xml (No such file or directory)  which is a bit bizarre as that file does exist. I seem to have left out an extra space on the entity declarion in the main docbook xml (Camel.xml). Windows was just ignoring this space so it was builiding in my environment.  updated the maven docbook plugin at : r548256. added process to download all image files and store them where the html output can reference them. Next would be to figure out how to apply this for the pdf output  r:549119. BTW I've updated the pom to include a decent amount of content; though it seems to break the generator now. Not sure why.  It seemed to be when I added all the enterprise integration pattern pages; I tried looking at the XML to see if I could grok why things bafed but I couldn't spot it - any ideas?. Incidentally  could we change the XSL so that the <chapter><title> is actually the <h1> heading on the page? Right now the chapter headings are the file names which are not great as they are lower case and have - in them. BTW I was wondering; should we switch the phase that the docbook generation happens to the site phase? Then the build only kicks in when creating the site etc.  (We probably wanna also copy the HTML and PDF to the site/doc directory or something so that site:deploy will deploy the PDFs etc). Oh one more thought  When we get the PDF generation thingy working again; we should include the PDF and HTML versions in the distro. Maybe in  doc/ reference/ html/ camel.pdf  Then we've somewhere we can put the site / javadoc in there later on. added updates to  use the first h1/h2 find as the page heading change the plugin phase to site handle duplicate anchor/bridgehead ids - this was causing the generator to break on book-pattern-appendix.html and book-component-appendix.html resources  images are now handled nicely in html but still needs work when to support pdf output. Another thing to work on are the html links. It would be nice if the links are inside the docbook   rev: 550436. to make it easier to track the various bits and pieces  I'm gonna create a few sub-tasks. BTW I just moved the camel-book module into the tooling directory (as new users won't really need to look much at this module as its mostly a tool to create the PDF from the wiki). Great work Jonas - its looking good!. Hiram's change to use princexml.com fixes this issue.  I've refactored the camel-book module to be called camel-manual now and it generates both a HTML and PDF representation nicely now in target/site/manual/  Note that you must have princexml.com installed for this to work!. 
New Feature,Willem Jiang,2007-06-22T16:16:24+0000,1182528984,,The archetype has been committed into the repository.. Remember to add some doc on the wiki how to use it and what it is there for.  The tools section of the wiki is rather hard to find  maybe it should be a top level link to it from the Documentation page/right menu.  This link is only from the architecture link and not from user guide etc. http://activemq.apache.org/camel/tools.html. I changed the tools page's parent from architecture to developer and added a page to talk about the camel component archetype.. Closed all 1.3 tickets. 
